ILCE_UAVT,District,ADI,Category,ADRES,TELEFON,WEBSITESI,ACIL_SERVIS,Capacity,AMBULANS,Nbhood,Latitude,Longitude
2015,TUZLA,Þifa Þehit Erdoðan Komut Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Hürriyet Cad. No:77 ÞÝFA/TUZLA,0216 674 17 49,,Yok,0,,ÞÝFA,40.82737363,29.35709592
2004,BAÐCILAR,Diþ Hekimi Cihat Ünlü,Clinic,Baðcýlar Cad. No:131 YENÝGÜN/BAÐCILAR,0212 433 70 18,,,,,YENÝGÜN,41.02404726,28.85748885
2016,ESENLER,Anadolu Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Galeri Sk. No:2 HAVAALANI/ESENLER,0212 431 36 36,,Yok,0,,HAVAALANI,41.05585456,28.86459247
2012,MALTEPE,Private Anadolu Hiperbarik Oksijen Tedavi Merkezi,Private Taný Tedavi Merkezleri,Güvenli Sk. No:1 CEVÝZLÝ/MALTEPE,0216 383 12 98,www.anadoluhiperbarik.com,,0,,CEVÝZLÝ,40.91307296,29.15294938
2012,MALTEPE,Private RTS Onur Hemodiyaliz ve Periton Diyaliz Merkezi,Diyaliz Merkezi Private,Gökhan Sk. No:22 KÜÇÜKYALI MERKEZ/MALTEPE,0212 329 62 00,www.rts.com.tr,,30,Yok,KÜÇÜKYALI MERKEZ,40.95129959,29.11903423
2055,SULTANGAZÝ,Private Sultançiftliði Þifa Diyaliz Merkezi,Diyaliz Merkezi Private,65. Sk. No:711 ÝSMETPAÞA/SULTANGAZÝ,0212 606 26 20 - 21,www.sifadiyalizmerkezi.com,,,Yok,ÝSMETPAÞA,41.11040533,28.85833131
2055,SULTANGAZÝ,Sultangazi 4 Nolu Acil Saðlýk Hizmetleri Ýstasyonu,Emergency Station,1319. Sk. No:2 75. YIL/SULTANGAZÝ,112,www.istanbulsaglik.gov.tr,Yok,3,Var,75. YIL,41.09742256,28.90150527
2050,BAÞAKÞEHÝR,Kayabaþý Murat Kýzýlkaya Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Panayýr Sk. No:328 KAYABAÞI/BAÞAKÞEHÝR,0212 691 03 95,,Yok,0,,KAYABAÞI,41.11313663,28.74365381
1327,FATÝH,Ýstanbul Üniversitesi Týp Fakültesi Nörolojik Bilimler Birimi,Policlinic,Turgut Özal Millet Cad. No:118Z TOPKAPI/FATÝH,0212 414 20 00,http://istanbultip.istanbul.edu.tr,Var,45,,TOPKAPI,41.0149809,28.93527427
1327,FATÝH,Private Ýyitem Radyoloji Laboratuvarý,Laboratuvar Private,Dr. Adnan Adývar Cad. No:5 HASEKÝ SULTAN/FATÝH,0212 632 00 00,www.iyitem.com,,,,HASEKÝ SULTAN,41.00869322,28.94517774
1708,ÜSKÜDAR,Veterinerim Pet Kliniði,Veteriner,Cumhuriyet Cad. No:50 SELAMÝ ALÝ/ÜSKÜDAR,0216 553 12 03,www.veteriner.im,,0,Yok,SELAMÝ ALÝ,41.02726434,29.03208619
2004,BAÐCILAR,Baðcýlar 13 Nolu Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,1235. Sk. No:16 KÝRAZLI/BAÐCILAR,0212 550 47 71,,Yok,0,,KÝRAZLI,41.03526479,28.84161551
1166,BAKIRKÖY,Bakýrköy Çocuk Aðýz ve Diþ Saðlýðý Merkezi,Aðýz ve Diþ Saðlýðý Merkezi,Sýðýrtmaç Sk. No:1 OSMANÝYE/BAKIRKÖY,0212 414 96 67,,Yok,1,,OSMANÝYE,40.99485324,28.88347843
2015,TUZLA,Private GSB Gisbir Saðlýk Merkezi Hospitalsi,Private Hospital,Güzin Sk. No:2 AYDINTEPE/TUZLA,0216 581 42 00,www.gisbirHospital.com,Var,71,Var,AYDINTEPE,40.84791623,29.29436247
1663,ÞÝÞLÝ,Private Teþvikiye Laboratuvarý,Laboratuvar Private,Niþantaþý Ihlamur Yolu Sk. No:18 TEÞVÝKÝYE/ÞÝÞLÝ,0212 246 70 51,,,,,TEÞVÝKÝYE,41.051052,28.99505
1708,ÜSKÜDAR,Zeynep Kamil Eðitim ve Araþtýrma Hospitalsi Murat Reis Semt Polikliniði,Policlinic,Gazi Cad. No:119 MURATREÝS/ÜSKÜDAR,0216 334 94 00,www.zeynepkamil.gov.tr,Yok,0,,MURATREÝS,41.02346854,29.02965549
2015,TUZLA,Güven Veteriner,Veteriner,Tevfik Sk. No:7 TEPEÖREN/TUZLA,0216 304 12 55,,,0,Yok,TEPEÖREN,40.908565,29.391735
1663,ÞÝÞLÝ,Private Osmanoðlu Hospitalsi,Private Hospital,Dilaçar Sk. No:4 MERKEZ/ÞÝÞLÝ,0850 800 50 50,www.osmanogluHospitalsi.com.tr,Var,47,Var,MERKEZ,41.0630971,28.98857643
2010,GÜNGÖREN,Diþ Hekimi Ýsmail Yalçýn,Clinic,Þair Ahmet Kutsi Tecer Cad. No:49 ABDURRAHMAN NAFÝZ GÜRMAN/GÜNGÖREN,0212 539 46 97,,,,,ABDURRAHMAN NAFÝZ GÜRMAN,41.00758664,28.88740283
2005,BAHÇELÝEVLER,Genel Cerrahi Uzmaný Prof. Dr. Varol Çelik,Clinic,Ýzzettin Çalýþlar Cad. No:54 BAHÇELÝEVLER/BAHÇELÝEVLER,0212 502 07 07,,,,,BAHÇELÝEVLER,40.99951118,28.86992153
2005,BAHÇELÝEVLER,Dr. Bülent Gök Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Ferit Selimpaþa Cad. No:54 BAHÇELÝEVLER/BAHÇELÝEVLER,0212 554 70 00,,Yok,0,,BAHÇELÝEVLER,41.00906475,28.85920627
2005,BAHÇELÝEVLER,Diþ Hekimi M. Nüvit Karakaþlý,Clinic,Baðcýlar Cad. No:113 CUMHURÝYET/BAHÇELÝEVLER,0212 575 22 44,,,,,CUMHURÝYET,41.01586679,28.86124525
2049,ATAÞEHÝR,Private Anadolu Saðlýk Ataþehir Mecial Center,Mecial Center Private,Ortabahar Sk. No:28A BARBAROS/ATAÞEHÝR,0216 444 42 76,www.anadolusaglik.org,Var,,Var,BARBAROS,40.98429757,29.09796874
2005,BAHÇELÝEVLER,Diþ Hekimi Duran Çelik,Clinic,Ahmet Yesevi Cad. No:37 HÜRRÝYET/BAHÇELÝEVLER,0212 452 53 56,,,,,HÜRRÝYET,41.00061441,28.83888435
2005,BAHÇELÝEVLER,Hekim Sinan Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Sýnýrlý Sk. No:2 YENÝBOSNA MERKEZ/BAHÇELÝEVLER,0212 639 11 21,,Yok,0,,YENÝBOSNA MERKEZ,41.01059951,28.82472479
2005,BAHÇELÝEVLER,Private Esthetic Diþ Protez Laboratuvarý,Private Aðýz Diþ Saðlýðý Merkezleri,Naci Kasým Sk. No:17 BAHÇELÝEVLER/BAHÇELÝEVLER,0212 556 52 11,,,,,BAHÇELÝEVLER,41.00443109,28.87221785
1835,PENDÝK,Private Cihan Tip Merkezi,Mecial Center Private,Marmara Cad. No:2 ÇAMÇEÞME/PENDÝK,0216 396 60 00,www.cihantipmerkezi.com,Var,,Yok,ÇAMÇEÞME,40.87866687,29.27159403
1166,BAKIRKÖY,Doðuþ Veteriner Tedavi ve Bakým Evi,Veteriner,Sarý Yakup Sk. No:2 B YEÞÝLKÖY/BAKIRKÖY,0212 574 04 00,,,0,Yok,YEÞÝLKÖY,40.96226553,28.82182084
1166,BAKIRKÖY,80. Yýl Bakýrköy Engelliler Bakým Rehabilitasyon ve Aile Danýþma Merkezi,Rehabilitasyon ve Aile Danýþma Merkezi,Çobançeþme E-5 Yan Yol Cad. No:15 OSMANÝYE/BAKIRKÖY,0212 466 47 54,,,,,OSMANÝYE,41.00019965,28.88245594
2003,AVCILAR,Private Tosunoðlu Mecial Center,Mecial Center Private,Birlik Cad. No:67 YEÞÝLKENT/AVCILAR,0212 699 69 11,,Var,,Yok,YEÞÝLKENT,41.04133244,28.696891
2005,BAHÇELÝEVLER,Diþ Hekimi Gültekin Gülþen,Clinic,Talatpaþa Cad. No:73 BAHÇELÝEVLER/BAHÇELÝEVLER,0212 441 32 77,,,,,BAHÇELÝEVLER,41.00273556,28.86528868
2003,AVCILAR,Avcýlar 2 Nolu Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Þehit Serhat Þanlý Sk. No:6 DENÝZKÖÞKLER/AVCILAR,0212 676 12 36,,Yok,0,,DENÝZKÖÞKLER,40.97469589,28.7272956
1739,ZEYTÝNBURNU,Zeytinburnu 2 Nolu Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,58/4. Sk. No:6 GÖKALP/ZEYTÝNBURNU,0212 679 57 98,,Yok,0,,GÖKALP,40.9911217,28.9042315
1886,BAYRAMPAÞA,Haseki Eðitim ve Araþtýrma Hospitalsi Topçular Semt Polikliniði,Policlinic,Abdi Ýpekçi Cad. No:167 YENÝDOÐAN/BAYRAMPAÞA,0212 616 98 14,www.hasekieah.saglik.gov.tr,Yok,0,,YENÝDOÐAN,41.04769164,28.91354953
1886,BAYRAMPAÞA,Private Bayrampaþa Göz Hospitalsi,Göz Merkezi Private,Özgür Sk. No:5 YENÝDOÐAN/BAYRAMPAÞA,0212 467 75 00,www.gozvakfi.com.tr,Var,14,,YENÝDOÐAN,41.03569638,28.91373777
1886,BAYRAMPAÞA,Bayrampaþa 6 Nolu Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,50. Yýl Cad. No:125A KOCATEPE/BAYRAMPAÞA,0212 437 04 33,,Yok,0,,KOCATEPE,41.06037986,28.89253803
2005,BAHÇELÝEVLER,Private Dentopia Aðýz ve Diþ Saðlýðý Merkezi,Private Aðýz Diþ Saðlýðý Merkezleri,Ömür Sk. No:6 BAHÇELÝEVLER/BAHÇELÝEVLER,444 33 68,www.dentopia.com.tr,,,,BAHÇELÝEVLER,40.9983708,28.87066861
2055,SULTANGAZÝ,Türk Red Crescentý Sultangazi Þubesi,Red Crescent,63. Sk. No:3 ÝSMETPAÞA/SULTANGAZÝ,0212 594 00 34,www.kizilay.org.tr,,,Yok,ÝSMETPAÞA,41.10981033,28.85825733
2012,MALTEPE,Maltepe 17 Nolu Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Kani Paþa Cad. No:76 ESENKENT/MALTEPE,0216 589 05 77,,Yok,0,,ESENKENT,40.92391009,29.16851186
2054,SANCAKTEPE,Doða Yaþlý Bakým Merkezi,Bakým Evi,Leman Sk. No:15 MECLÝS/SANCAKTEPE,0216 621 33 33,www.huzurevi.com.tr,,64,Yok,MECLÝS,41.01073783,29.20502304
2055,SULTANGAZÝ,Private Sultangazi Diyaliz Merkezi,Diyaliz Merkezi Private,7. Sk. No:481 SULTANÇÝFTLÝÐÝ/SULTANGAZÝ,0212 606 26 20 - 21,www.sultangazidiyalizmerkezi.com,,,Yok,SULTANÇÝFTLÝÐÝ,41.09287937,28.8636823
2012,MALTEPE,Private Kadýköy Diyaliz Merkezi,Diyaliz Merkezi Private,Manolyacý Sk. No:1 /1B ZÜMRÜTEVLER/MALTEPE,0216 349 66 55,www.kadikoydiyaliz.com.tr,,,Yok,ZÜMRÜTEVLER,40.92791964,29.15070624
2012,MALTEPE,Forvet Veteriner Kliniði,Veteriner,Þehit Nedim Özpolat Sk. No:2C YALI/MALTEPE,0216 457 66 89,www.for-vet.com,,0,Yok,YALI,40.92023848,29.1319912
2005,BAHÇELÝEVLER,Private Bahçelievler Sintigrafi Nükleer Mecial Center,Mecial Center Private,Maraþal Fevzi Çakmak 2. Sk. No:32 ÞÝRÝNEVLER/BAHÇELÝEVLER,0212 451 00 66,www.bahcelievlersintigrafi.com,Yok,,Yok,ÞÝRÝNEVLER,40.99329931,28.84915159
1421,KADIKÖY,Private Fizyodent Aðýz ve Diþ Saðlýðý Polikliniði,Private Aðýz Diþ Saðlýðý Merkezleri,Mühürdar Cad. No:91 CAFERAÐA/KADIKÖY,0216 450 12 12,www.medicadent.com,,,,CAFERAÐA,40.98700454,29.02192793
2005,BAHÇELÝEVLER,Private Median Hospitalsi,Private Hospital,Mahmutbey Cad. No:369 KOCASÝNAN MERKEZ/BAHÇELÝEVLER,0212 656 86 00,www.gelisimHospitalsi.com.tr,Var,31,Var,KOCASÝNAN MERKEZ,41.02161161,28.83931907
2003,AVCILAR,Private FMC Ýstanbul Avcýlar Diyaliz Merkezi,Diyaliz Merkezi Private,Avcýlar Kavþaðý No: MERKEZ/AVCILAR,0212 676 48 01,www.nephrocare.com.tr,,45,Yok,MERKEZ,40.98558909,28.72044089
2049,ATAÞEHÝR,Ýçerenköy Veteriner Kliniði,Veteriner,Prof. Dr. Necmettin Erbakan Cad. No:55 ÝÇERENKÖY/ATAÞEHÝR,0216 576 90 98,www.icerenkoyveterinerklinigi.com,,0,Yok,ÝÇERENKÖY,40.974455,29.120708
1166,BAKIRKÖY,Bakýrköy Prof.Dr.Mazhar Osman Ruh Sað. ve Sinir Hast. Eðt. ve Araþ. Hospitalsi 112 Komuta Kontrol Merkezi,Ambulans,Dr. Tevfik Saðlam Cad. No:32 /5 ZUHURATBABA/BAKIRKÖY,112,,Var,,Var,ZUHURATBABA,40.99186685,28.85856326
2005,BAHÇELÝEVLER,Göz Hastalýklarý ve Cerrahi Uzmaný Dr. O. Murat Uyar,Clinic,Maraþal Fevzi Çakmak Cad. No:24 ÞÝRÝNEVLER/BAHÇELÝEVLER,0212 639 38 05,www.muratuyar.com,,,,ÞÝRÝNEVLER,40.99438772,28.84531729
1183,BEÞÝKTAÞ,Maçka Veteriner Kliniði,Veteriner,Refik Osman Top Sk. No:5 VÝÞNEZADE/BEÞÝKTAÞ,0212 327 38 25,www.mackavet.com,,0,Yok,VÝÞNEZADE,41.04283192,29.0005275
1823,KÜÇÜKÇEKMECE,Cennet Veteriner Kliniði,Veteriner,Hürriyet Cad. No:8 CENNET/KÜÇÜKÇEKMECE,0212 541 13 95,www.cennetveterinerklinigi.com,,0,Yok,CENNET,40.98631863,28.78204362
2012,MALTEPE,Diþ Hekimi Korhan Sayar,Clinic,Kani Paþa Cad. No:1A ESENKENT/MALTEPE,0216 427 09 97 - 0216 427 34 54,,,,,ESENKENT,40.92146484,29.16619392
2012,MALTEPE,Private Maltepe Diyaliz Merkezi,Diyaliz Merkezi Private,Burçak Sk. GÜLSUYU/MALTEPE,0216 370 72 52,www.maltepediyaliz.com,,,Var,GÜLSUYU,40.92510082,29.15506637
2054,SANCAKTEPE,Sarýgazi Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Özben Sk. No:17 MECLÝS/SANCAKTEPE,0216 622 47 98,,Yok,0,,MECLÝS,41.011937,29.20547206
2055,SULTANGAZÝ,Sultangazi 1 nolu Eðitim Aile Saðlýðý Merkezi ,Aile Saðlýðý Merkezi,1426. Sk. No:10 GAZÝ/SULTANGAZÝ,,,Yok,0,,GAZÝ,41.10846576,28.89537898
2012,MALTEPE,Maltepe 7 Nolu Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Nefer Sk. No:3/1 ALTAYÇEÞME/MALTEPE,0216 399 00 25,,Yok,0,,ALTAYÇEÞME,40.93469941,29.1279873
2012,MALTEPE,Tepe Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Baðlantý Yolu BAÞIBÜYÜK/MALTEPE,0216 675 02 85,,Yok,0,,BAÞIBÜYÜK,40.95115815,29.1639578
2012,MALTEPE,Private Radiologica Görüntüleme Merkezi,Görüntüleme Merkezi Private,Fil Yokuþu Sk. No:22 CEVÝZLÝ/MALTEPE,0216 457 97 97,www.radiologica.com.tr,,,,CEVÝZLÝ,40.92341251,29.15476123
2012,MALTEPE,Private Bölge Hospitalsi Maltepe,Private Hospital,Baðdat Cad. No:475 BAÐLARBAÞI/MALTEPE,0216 441 20 20,www.maltepebolgeHospitalsi.com,Var,50,Var,BAÐLARBAÞI,40.92088129,29.13754965
2054,SANCAKTEPE,Private Multidenta Aðýz ve Diþ Saðlýðý Merkezi,Private Aðýz Diþ Saðlýðý Merkezleri,Ankara Cad. No:57 ÝNÖNÜ/SANCAKTEPE,0216 621 56 56,www.multidenta.com,,,,ÝNÖNÜ,41.00967881,29.21245559
2005,BAHÇELÝEVLER,Private Aile Hospitalsi,Private Hospital,Begonyalý Sk. No:7 BAHÇELÝEVLER/BAHÇELÝEVLER,0212 441 41 42,www.aileHospitalsi.com.tr,Var,104,Var,BAHÇELÝEVLER,40.99762146,28.86723015
1852,ÜMRANÝYE,Durmuþ Tanýþ Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Refah Sk. No:1 NAMIK KEMAL/ÜMRANÝYE,0216 443 73 30,,Yok,0,,NAMIK KEMAL,41.02187217,29.09192715
2005,BAHÇELÝEVLER,Fulya Optik,Optik,Yýldýrým Beyazýt Cad. No:1 ZAFER/BAHÇELÝEVLER,0212 551 22 70,,,,,ZAFER,40.99802343,28.83485284
1166,BAKIRKÖY,Private Hospitadent Aðýz ve Diþ Saðlýðý Merkezi Bakýrköy,Private Aðýz Diþ Saðlýðý Merkezleri,Ýncirli Cad. No:113 ZUHURATBABA/BAKIRKÖY,0212 570 12 22,www.hospitadent.com,,,,ZUHURATBABA,40.99557548,28.86969538
2016,ESENLER,Private Esnan Aðýz ve Diþ Saðlýðý Merkezi,Private Aðýz Diþ Saðlýðý Merkezleri,Barbaros Cad. No:1 ORUÇREÝS/ESENLER,0212 431 06 06,www.esnan.com.tr,Yok,0,Yok,ORUÇREÝS,41.05843784,28.85512763
2049,ATAÞEHÝR,Private Eren Týp Hospitalsi,Mecial Center Private,Altýn Kaynak Sk. No:57 KÜÇÜKBAKKALKÖY/ATAÞEHÝR,0216 575 58 77,www.erenHospitalsi.com,Var,36,Var,KÜÇÜKBAKKALKÖY,40.97923915,29.11075197
2049,ATAÞEHÝR,Ataþehir 4 Nolu Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Yenidoðan Cad. No:2/2B KÜÇÜKBAKKALKÖY/ATAÞEHÝR,0216 469 74 39,,Yok,0,,KÜÇÜKBAKKALKÖY,40.98468751,29.1129197
1835,PENDÝK,Private Yaþam Tip Merkezi,Mecial Center Private,Lokman Hekim Cad. No:12 DOÐU/PENDÝK,0216 491 35 07,www.yasamtipmerkezi.com,Var,,Yok,DOÐU,40.87884698,29.23558809
1835,PENDÝK,Fevzi Çakmak Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Anibal Sk. FEVZÝ ÇAKMAK/PENDÝK,0216 596 27 05,,Yok,0,,FEVZÝ ÇAKMAK,40.8743791,29.26722905
2004,BAÐCILAR,Vizyon Optik,Optik,428. Sk. No:5D ÝNÖNÜ/BAÐCILAR,0212 434 33 74,,,,,ÝNÖNÜ,41.0327946,28.85546276
1336,GAZÝOSMANPAÞA,Duyumed Ýþitme Cihazlarý Satýþ ve Uygulama Merkezi,Ýþitme Cihazý Satýþ ve Uygulama Merkezi,Ali Galipbey Cad. No:21D MERKEZ/GAZÝOSMANPAÞA,0212 564 46 11,www.isitmecihazi.com,,0,,MERKEZ,41.05729085,28.91242625
1336,GAZÝOSMANPAÞA,Private Avrupa Ýnci Aðýz ve Diþ Saðlýðý Polikliniði,Private Aðýz Diþ Saðlýðý Merkezleri,Abdi Ýpekçi Cad. No:15 KARAYOLLARI/GAZÝOSMANPAÞA,0212 479 45 00,www.avrupainci.com,,0,,KARAYOLLARI,41.08642268,28.90206097
1336,GAZÝOSMANPAÞA,Mevlana Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Sefa Cad. No:32 MEVLANA/GAZÝOSMANPAÞA,0212 419 21 00,,Yok,0,,MEVLANA,41.08516443,28.91241057
1336,GAZÝOSMANPAÞA,Private Göral Aðýz ve Diþ Saðlýðý Polikliniði,Private Aðýz Diþ Saðlýðý Merkezleri,Eski Edirne Asfaltý No:154A HÜRRÝYET/GAZÝOSMANPAÞA,0212 649 42 15 - 0212 617 61 40,,,,,HÜRRÝYET,41.0670521,28.89781141
1336,GAZÝOSMANPAÞA,Akmercan Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,771. Sk. No:16 FEVZÝ ÇAKMAK/GAZÝOSMANPAÞA,0212 618 03 80,,Yok,0,,FEVZÝ ÇAKMAK,41.07082866,28.9077425
1183,BEÞÝKTAÞ,Private Barbaros Týbbi Tahliller Laboratuvarý,Laboratuvar Private,Eskiyýldýz Cad. No:16-18 YILDIZ/BEÞÝKTAÞ,0212 259 68 85,,,,,YILDIZ,41.04324441,29.00802054
1336,GAZÝOSMANPAÞA,Osman Optik,Optik,Baðlar Cad. No:60 MERKEZ/GAZÝOSMANPAÞA,0212 529 83 89,,,,,MERKEZ,41.059721,28.907243
1183,BEÞÝKTAÞ,Artý Veteriner Kliniði,Veteriner,Ülgen Sk. No:37 LEVENT/BEÞÝKTAÞ,0212 281 73 54,,,0,Yok,LEVENT,41.08590228,29.01978808
1183,BEÞÝKTAÞ,Levent Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Yücel Sk. No:15 NÝSBETÝYE/BEÞÝKTAÞ,0212 270 20 90,,Yok,0,,NÝSBETÝYE,41.07097748,29.01981302
1183,BEÞÝKTAÞ,Private Estet Ýstanbul Mecial Center,Mecial Center Private,Beyazkaranfil Sk. No:27 LEVENT/BEÞÝKTAÞ,0212 280 08 00,www.estetistanbul.com,Var,,Yok,LEVENT,41.08387685,29.01358085
1336,GAZÝOSMANPAÞA,Private Hayri Öztürk Aðýz ve Diþ Saðlýðý Polikliniði,Private Aðýz Diþ Saðlýðý Merkezleri,Eski Edirne Asfaltý No:110A HÜRRÝYET/GAZÝOSMANPAÞA,0212 417 30 30 - 0212 417 77 77,,,,,HÜRRÝYET,41.06474674,28.90080528
1810,KAÐITHANE,Private Livadent Aðýz ve Diþ Saðlýðý Polikliniði,Private Aðýz Diþ Saðlýðý Merkezleri,Talatpaþa Cad. No:2 ORTABAYIR/KAÐITHANE,0212 324 11 76,,Yok,,,ORTABAYIR,41.07850447,29.00333406
1810,KAÐITHANE,Diþ Hekimi Oya Sever,Clinic,Talatpaþa Cad. No:268 HARMANTEPE/KAÐITHANE,0212 325 90 25,,,,,HARMANTEPE,41.08144059,28.99250952
1166,BAKIRKÖY,Bakýrköy Prof.Dr.Mazhar Osman Ruh Sað. ve Sinir Hast. Eðt. ve Araþ. Hospitalsi Çematem,Policlinic,Dr. Tevfik Saðlam Cad. No:12/1 ZUHURATBABA/BAKIRKÖY,0212 409 15 15,www.bakirkoyruhsinir.gov.tr,Var,,,ZUHURATBABA,40.9924011,28.86384309
2005,BAHÇELÝEVLER,Anýl Optik,Optik,Fetih 7. Sk. No:29B ÞÝRÝNEVLER/BAHÇELÝEVLER,0212 452 31 32,,,,,ÞÝRÝNEVLER,40.9946841,28.84571682
1166,BAKIRKÖY,Family Veteriner Kliniði,Veteriner,Gülbeþeker Sk. No:31 KARTALTEPE/BAKIRKÖY,0212 542 08 07,www.fmlyvet.com,,0,Yok,KARTALTEPE,40.98384471,28.87724824
2003,AVCILAR,Þirin Optik,Optik,Beyoðlu Cad. No:32 MUSTAFA KEMALPAÞA/AVCILAR,0212 690 36 91,,,,,MUSTAFA KEMALPAÞA,41.00523686,28.70617565
2005,BAHÇELÝEVLER,Private Dentar Aðýz ve Diþ Saðlýðý Polikliniði,Private Aðýz Diþ Saðlýðý Merkezleri,Gülnihal Sk. No:2 HÜRRÝYET/BAHÇELÝEVLER,0212 503 89 07,www.dent-ar.com,,,,HÜRRÝYET,40.99807226,28.84251718
2012,MALTEPE,Maltepe 4 Nolu Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Þehit P. Üstteðmen Ünal Genç Çýkmazý No:3 ÇINAR/MALTEPE,0216 518 65 24,,Yok,0,,ÇINAR,40.94315313,29.11301618
2012,MALTEPE,Maltepe 18 Nolu Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Akar Sk. No:8 GÜLENSU/MALTEPE,0216 589 03 20,,Yok,0,,GÜLENSU,40.93687994,29.16025617
2012,MALTEPE,Maltepe 1-6 Nolu Emergency Station,Emergency Station,Erzincan Sk. No:17 AYDINEVLER/MALTEPE,0216 388 92 46,www.istanbulsaglik.gov.tr,Yok,3,Var,AYDINEVLER,40.94906353,29.12851548
2014,SULTANBEYLÝ,Sultanbeyli 7 Nolu Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Petrol Yolu Cad. No:1 HASANPAÞA/SULTANBEYLÝ,0216 398 44 04,,Yok,0,,HASANPAÞA,40.96822117,29.24960444
2012,MALTEPE,Maltepe Üniversitesi Týp Fakültesi Hospitalsi Üremeye Yardýmcý Tedavi Merkezi,Üremeye Yardýmcý Tedavi Merkezi,Feyzullah Cad. No:39 BAÐLARBAÞI/MALTEPE,444 06 20 - 0850 811 02 51,www.maltepeHospitalsi.com.tr,,80,,BAÐLARBAÞI,40.92522605,29.1349332
2012,MALTEPE,Maltepe Public Hospital,Public Hospital,Çamlý Sk. No:20A ALTAYÇEÞME/MALTEPE,0216 459 77 70,www.maltepedh.saglik.gov.tr,Var,50,Yok,ALTAYÇEÞME,40.93698366,29.13504292
2014,SULTANBEYLÝ,T.E.V. Sultanbeyli Public Hospital Public Hospital,Public Hospital,Kuran Kursu Cad. No:4 MEHMET AKÝF/SULTANBEYLÝ,0216 564 24 00,www.sultanbeylidh.gov.tr,Var,100,Yok,MEHMET AKÝF,40.96525005,29.26599327
2012,MALTEPE,Maltepe 21 Nolu Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Trafo Cad. No:10 BAÞIBÜYÜK/MALTEPE,0216 421 02 34,,Yok,0,,BAÞIBÜYÜK,40.95848219,29.15318813
2055,SULTANGAZÝ,Ýstanbul Aile Danýþmalýk ve Eðitim Merkezi,Rehabilitasyon ve Aile Danýþma Merkezi,2467. Sk. No:42A CEBECÝ/SULTANGAZÝ,0212 475 09 93,,,,,CEBECÝ,41.10851793,28.86551529
1166,BAKIRKÖY,Bakýrköy 10 Nolu Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Sýðýrtmaç Sk. No:7 OSMANÝYE/BAKIRKÖY,0212 542 58 72,,Yok,0,,OSMANÝYE,40.99494979,28.88447212
1166,BAKIRKÖY,Bakýrköy 1 Nolu Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Sýðýrtmaç Sk. No:7 OSMANÝYE/BAKIRKÖY,0212 542 58 72,,Yok,0,,OSMANÝYE,40.99493754,28.88436032
1166,BAKIRKÖY,Bakýrköy Dinlenme ve Bakýmevi,Bakým Evi,Vankulu Sk. No:1/2 ZUHURATBABA/BAKIRKÖY,0212 660 87 03,www.ozelbakirkoyhuzurevi.com,,60,Yok,ZUHURATBABA,40.98585939,28.87153212
1166,BAKIRKÖY,Saint Etienne Latin Katolik Kilisesi Huzur ve Bakýmevi,Bakým Evi,Cümbüþ Sk. No:14 YEÞÝLKÖY/BAKIRKÖY,0212 662 01 41,www.eternityhuzurevi.com,,,Yok,YEÞÝLKÖY,40.95773493,28.82206295
1421,KADIKÖY,Yeditepe Üniversitesi Hospitalsi Baðdat Caddesi Polikliniði,Policlinic,Baðdat Cad. No:2A CADDEBOSTAN/KADIKÖY,0216 467 88 60,www.yeditepeHospitalsi.com.tr,Yok,0,,CADDEBOSTAN,40.97216172,29.05793059
1823,KÜÇÜKÇEKMECE,Private Marmara Diyaliz Merkezi,Diyaliz Merkezi Private,Cengiz Sk. No:2 YENÝ MAHALLE/KÜÇÜKÇEKMECE,0212 599 99 44,www.marmaradiyaliz.net,,,Yok,YENÝ MAHALLE,40.99544533,28.7747902
