ILCE_UAVT,District,ADI,Category,ADRES,TELEFON,WEBSITESI,ACIL_SERVIS,Capacity,AMBULANS,Nbhood,Latitude,Longitude
1327,FATÝH,Ýstanbul Üniversitesi Mediko Sosyal Merkezi,Policlinic,Süleymaniye Cad. No:15 SÜLEYMANÝYE/FATÝH,0212 440 00 36,www.istanbulhalksagligi.gov.tr,Var,0,,SÜLEYMANÝYE,41.01420996,28.96192372
1327,FATÝH,ÝBB Fatih Hayvan Hospitalsi,Veteriner,Su Yolu Sk. No:1 ZEYREK/FATÝH,0212 45 373 71,www.ibb.gov.tr,,0,Yok,ZEYREK,41.01674444,28.95371647
1327,FATÝH,Demir Medikal,Medikal,Bekarbey Sk. No:28 AKSARAY/FATÝH,,,,,,AKSARAY,41.00512297,28.94339993
1622,SÝLÝVRÝ,Silivri Ana Çocuk Saðlýðý ve Aile Planlama Merkezi,Ana Çocuk Saðlýðý ve Aile Planlama Merkezi,Gün Sk. No:7 MÝMAR SÝNAN/SÝLÝVRÝ,0212 727 22 03,www.istanbulhalksagligi.gov.tr,Yok,0,,MÝMAR SÝNAN,41.08763881,28.24310865
1237,ÇATALCA,Ýhsaniye Zehra Akdoðan Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Saðlýk Ocaðý Cad. No:1 ÝHSANÝYE/ÇATALCA,0212 782 17 33,,Yok,0,,ÝHSANÝYE,41.25199051,28.36504145
1604,SARIYER,Bahçeköy Veteriner Kliniði,Veteriner,Mareþal Fevzi Çakmak Cad. No:4 KEMER/SARIYER,0212 226 26 74,www.bahcekoyvet.com,,0,Yok,BAHÇEKÖY KEMER,41.16950235,28.99076316
1604,SARIYER,Private Büyükdere Kadýn Hastalýklarý Merkezi,Kadýn Hastalýklarý ve Saðlýðý Merkezi Private,Çayýrbaþý Cad. No:95 BÜYÜKDERE/SARIYER,0212 242 32 89,,,3,,BÜYÜKDERE,41.15920616,29.03853026
1237,ÇATALCA,Uzmanlar Veteriner Kliniði,Veteriner,Atatürk Cad. No:32 FERHATPAÞA/ÇATALCA,0212 787 23 20,,,0,Yok,FERHATPAÞA,41.14074171,28.46382271
1604,SARIYER,PTT Evleri Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Camii.. Sk. No:17/1 PTT EVLERÝ/SARIYER,0212 271 34 95,,Yok,0,,PTT EVLERÝ,41.15566516,29.02305939
1622,SÝLÝVRÝ,Silivri 5 Nolu Cezaevi Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Çanta Cad. No:162C SEMÝZKUMLAR/SÝLÝVRÝ,0212 726 00 32,,Yok,0,,SEMÝZKUMLAR,41.08706289,28.14920465
